term,npar,AIC,BIC,logLik,minus2logL,statistic,df,p.value,dv
m1,5,3470.7963374817546,3492.952992891422,-1730.3981687408773,3460.7963374817546,NA,NA,NA,mmn_mean_amp
m2,6,3467.645202408465,3494.233188900066,-1727.8226012042326,3455.645202408465,5.151135073289424,1,0.023231182484106223,mmn_mean_amp
m3,8,3470.0890701287003,3505.539718784168,-1727.0445350643502,3454.0890701287003,1.5561322797648245,2,0.459293362137798,mmn_mean_amp
m1,5,-2114.6232626173296,-2092.466607207662,1062.3116313086648,-2124.6232626173296,NA,NA,NA,mmn_peak_lat
m2,6,-2112.992515747237,-2086.404529255636,1062.4962578736186,-2124.992515747237,0.3692531299075199,1,0.5434116580119593,mmn_peak_lat
m3,8,-2109.268084158838,-2073.8174355033702,1062.634042079419,-2125.268084158838,0.27556841160094336,2,0.8712866900744387,mmn_peak_lat
m1,5,3712.233058024085,3734.3897134337526,-1851.1165290120425,3702.233058024085,NA,NA,NA,p3_mean_amp
m2,6,3702.900495051599,3729.4884815432,-1845.4502475257996,3690.900495051599,11.332562972485903,1,7.615971528309814e-4,p3_mean_amp
m3,8,3706.0686014072426,3741.5192500627104,-1845.0343007036213,3690.0686014072426,0.831893644356569,2,0.6597153517769672,p3_mean_amp
m1,5,-1705.4862605853857,-1683.3296051757184,857.7431302926929,-1715.4862605853857,NA,NA,NA,p3_peak_lat
m2,6,-1705.684998323241,-1679.09701183164,858.8424991616205,-1717.684998323241,2.1987377378552537,1,0.13812380140660802,p3_peak_lat
m3,8,-1705.1945928487164,-1669.7439441932486,860.5972964243582,-1721.1945928487164,3.5095945254754497,2,0.17294230058633742,p3_peak_lat
